Movie_count,Title,Phase,Year,MediaType,Poster_link,Hotstar_link,YTS_Link,Netflix_Link,AmznPrime_Link
8,Thor: The Dark World,Phase 2,2013,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Thor_TheDarkWorld.png,https://www.hotstar.com/in/movies/thor-the-dark-world/1260018142,https://en.yts-official.biz/movies/thor-the-dark-world-2013/,,
9,Captain America: The Winter Soldier,Phase 2,2014,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/CaptainAmerica_TheWinterSoldier.png,https://www.hotstar.com/in/movies/captain-america-the-winter-soldier/1260016410,https://en.yts-official.biz/movies/captain-america-the-winter-soldier-2014/,,
10,Guardians of the Galaxy,Phase 2,2014,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/GOG.png,https://www.hotstar.com/in/movies/guardians-of-the-galaxy/1260018294,https://en.yts-official.biz/movies/guardians-of-the-galaxy-2014/,,
11,Avengers: Age of Ultron,Phase 2,2015,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/Avengers_AgeOfUltron.png,https://www.hotstar.com/in/movies/marvels-avengers-age-of-ultron/1260018315,https://en.yts-official.biz/movies/avengers-age-of-ultron-2015/,,
12,Ant-Man,Phase 2,2015,movie,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/movies/AntMan.png,https://www.hotstar.com/in/movies/ant-man/1260018141,https://en.yts-official.biz/movies/ant-man-2015/,,
13,Daredevil (Season 1),The Defenders Saga,2015,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/Daredevil.png,https://www.hotstar.com/in/shows/marvels-daredevil/1260091261,,,
14,Jessica Jones (Season 1),The Defenders Saga,2015,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/JessicaJones.png,https://www.hotstar.com/in/shows/marvels-jessica-jones/1260089834,,,
15,Daredevil (Season 2),The Defenders Saga,2016,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/Daredevil.png,https://www.hotstar.com/in/shows/marvels-daredevil/1260091261,,,
16,Luke Cage (Season 1),The Defenders Saga,2016,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/LukeCage.png,https://www.hotstar.com/in/shows/marvels-luke-cage/1260091266,,,
17,Iron Fist (Season 1),The Defenders Saga,2017,show,https://github.com/chaitanyakumar-ReDSeC/assets/blob/main/general/image_assets/posters/series/IronFist.png,https://www.hotstar.com/in/shows/marvels-iron-fist/1260091270,,,
